sid,underlying_sid,root,symbol,name,mktdata_type,asset_class,instrument_type,mult,tick_size,start_date,end_date,auto_close_date,exchange_name,calendar_name,ccy,ccy_pair,base_ccy,quote_ccy,expiry_date,notice_date
109,174,ICICIBANK,ICICIBANK-I,ICICIBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
110,258,ALBK,ALBK-I,ALBK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
111,293,CONCOR,CONCOR-I,CONCOR FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
112,262,KPIT,KPIT-I,KPIT FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
113,-1,NONE,SYNDIBANK,SYNDIBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
114,-1,NONE,BHARTIARTL,BHARTIARTL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
115,-1,NONE,TVSMOTOR,TVSMOTOR,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
116,-1,NONE,PETRONET,PETRONET,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
117,331,JINDALSTEL,JINDALSTEL-I,JINDALSTEL FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
118,-1,NONE,MOTHERSUMI,MOTHERSUMI,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
119,-1,NONE,HDFCBANK,HDFCBANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
120,-1,NONE,CANBK,CANBK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
121,146,ITC,ITC-I,ITC FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
122,-1,NONE,BANKNIFTY-II,NIFTYBANK SECOND FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
123,257,HINDALCO,HINDALCO-I,HINDALCO FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
124,-1,NONE,TATAGLOBAL,TATAGLOBAL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
125,-1,NONE,VOLTAS,VOLTAS,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
126,-1,NONE,MINDTREE,MINDTREE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
127,352,SIEMENS,SIEMENS-I,SIEMENS FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
128,92,TATAMTRDVR,TATAMTRDVR-I,TATAMTRDVR FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
129,-1,NONE,BATAINDIA,BATAINDIA,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
130,-1,NONE,JSWSTEEL,JSWSTEEL,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
131,-1,NONE,ANDHRABANK,ANDHRABANK,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
132,297,DCBBANK,DCBBANK-I,DCBBANK FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
133,-1,NONE,BAJFINANCE,BAJFINANCE,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
134,46,PIDILITIND,PIDILITIND-I,PIDILITIND FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
135,-1,NONE,NMDC,NMDC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
136,-1,NONE,DLF,DLF,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
137,-1,NONE,CESC,CESC,0,0,0,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
138,183,LUPIN,LUPIN-I,LUPIN FIRST FUTURES,0,0,1,1,0.01,1.48E+18,1.53E+18,1.53E+18,NSE,NSE,INR,LOCAL,LOCAL,LOCAL,0,0
